"playerID","SUM(B.G)","SUM(B.AB)","SUM(B.R)","Sum(B.H)","Sum(B.2B)","Sum(B.3B)","Sum(B.HR)","Sum(B.SB)","Sum(B.CS)","Sum(B.BB)","Sum(B.SO)","Sum(B.IBB)","Sum(B.HBP)","Sum(B.SH)","Sum(B.SF)","Sum(B.GIDP)","Sum(P.W)","Sum(P.L)","Sum(P.SHO)","Sum(P.SV)","Sum(P.ER)","Sum(P.BB)","Sum(P.SO)","AVG(P.BAOpp)","AVG(P.ERA)","Sum(P.HBP)","Sum(P.BFP)","Sum(P.GF)","Sum(P.SH)","Sum(P.SF)","Sum(P.GIDP)","Sum(A.gameNum)","classification"
"cobbty01",6070,22868,4492,8378,1448,590,234,1784,356,2498,714,0,188,590,0,0,0,0,0,24,48,48,0,0.20000000000000007,2.25,0,480,48,0,0,0,NULL,"Elected"
"ruthba01",50060,167960,43480,57460,10120,2720,14280,2460,2340,41240,26600,0,860,2260,0,40,4136,2024,748,176,13596,19404,21472,0.24999999999999947,3.6800000190734865,1276,220264,484,0,0,0,0,"Elected"
"wagneho01",11168,41720,6944,13660,2560,1008,404,2888,60,3852,1308,0,500,884,0,0,0,0,0,0,0,252,252,0.22999999999999987,0,0,0,84,0,0,0,NULL,"Elected"
"mathech01",11628,30312,2718,6516,900,216,126,360,18,2088,1332,0,306,1242,0,0,6714,3384,1422,504,20394,15192,45036,0.2427777777777779,2.6488888594839306,1062,344448,1332,0,0,0,NULL,"Elected"
"johnswa01",19593,48804,5061,11487,1974,861,504,273,84,2310,5271,0,273,1470,0,0,8757,5859,2310,714,29904,28623,73689,0.2266666666666663,2.348095241047087,4263,498729,2709,0,0,0,NULL,"Elected"
"lajoina01",7440,28767,4512,9726,1971,489,249,1140,63,1548,255,0,402,663,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Nominated"
"speaktr01",5578,20390,3764,7028,1584,444,234,864,258,2762,440,0,206,618,0,0,0,0,0,0,44,0,0,0.5,9,0,176,44,0,0,0,NULL,"Nominated"
"youngcy01",63342,204240,22425,42987,6003,2415,1242,2001,0,5589,10350,0,690,3450,0,0,35259,21804,5244,1173,148143,83973,193407,0.2486956521739128,2.7139130416123765,11247,2074002,5796,0,0,0,NULL,"Nominated"
"hornsro01",11295,40865,7895,14650,2705,845,1505,675,320,5190,3395,0,240,1080,0,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Nominated"
"cochrmi01",20748,72366,14574,23128,4662,896,1666,896,644,11998,3038,0,406,2114,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,"Nominated"
"sislege01",57540,231476,35952,78736,11900,4592,2856,10500,3556,13216,9156,0,1344,6328,0,0,320,384,64,192,1856,3328,4032,0.12428571428571415,1.189999989100865,384,28992,512,0,0,0,NULL,"Nominated"
"collied01",11304,39796,7284,13260,1752,748,188,2976,692,5996,1144,0,308,2048,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Nominated"
"colliji01",13800,54360,8440,15992,2816,928,520,1552,0,3408,256,0,672,1176,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Nominated"
"alexape01",44289,114030,9702,23814,3780,819,693,189,315,4851,17388,0,126,5544,0,0,23499,13104,5670,2016,92988,59913,138474,0.25380952380952315,2.9723809900737943,4410,1318464,5040,0,0,0,NULL,"Nominated"
"gehrilo01",30296,112014,26432,38094,7476,2282,6902,1428,1414,21112,11060,0,630,1484,0,28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,"Nominated"
"bresnro01",30366,94101,14322,26292,4578,1491,546,4452,63,14994,2079,0,1407,2352,0,0,504,126,126,0,2772,1890,1890,0.35333333333333367,3.3166666825612388,378,2016,378,0,0,0,NULL,"Nominated"
"keelewi01",10615,42955,8595,14660,1205,725,165,2475,0,2620,180,0,645,1750,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Nominated"
"ansonca01",10092,41108,7984,13672,2324,568,388,1104,64,3932,1208,0,128,108,0,0,0,54,0,54,108,108,54,0.23,9,0,1134,162,0,0,0,NULL,"Nominated"
"ewingbu01",23670,96534,20322,29250,4500,3204,1278,6372,0,7056,5292,0,162,108,0,0,108,162,0,0,972,1242,1242,1.9199999999999984,4.2083333532015486,54,12096,270,0,0,0,NULL,"Nominated"
"wadderu01",51660,134316,7686,21672,3654,1260,504,756,0,5292,0,0,756,2898,0,0,24318,18018,6300,630,89586,101178,291816,0.2357142857142902,2.9014285802841187,14742,1524726,6678,0,0,0,NULL,"Nominated"
"delahed01",14680,60040,12792,20768,4176,1480,808,3640,0,5928,1952,0,752,392,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Nominated"
"foxxji01",333648,1171296,252144,381024,65952,18000,76896,12528,10368,209088,188784,0,1872,10224,0,9936,1512,0,0,0,6048,21168,16632,0.08499999999999729,0.7950000166893005,1512,146664,12096,0,0,0,0,"Nominated"
"walshed01",57834,137088,11718,26460,4788,1260,378,1764,0,5796,1764,0,882,3780,0,0,24570,15876,7182,4284,75348,77742,218736,0.22571428571428576,2.117857141154153,6804,1475838,12852,0,0,0,NULL,"Nominated"
"mcgrajo01",2198,7848,2048,2618,242,140,26,872,0,1672,148,0,268,64,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Nominated"
"radboch01",14366,54714,6776,12870,1408,242,198,572,0,3476,5368,0,198,0,0,0,7416,4680,840,48,32352,21000,43920,1.1245454545454543,2.890909097411416,1296,453840,576,0,0,0,NULL,"Nominated"
"traynpi01",34938,136062,21294,43488,6678,2952,1044,2844,828,8496,5004,0,558,4158,0,846,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,"Nominated"
"kellyki01",20370,82516,18998,25382,5026,1428,966,5152,0,7686,5852,0,168,0,0,0,72,72,0,0,756,1080,144,1.6514285714285728,3.3114285469055176,0,4284,324,0,0,0,NULL,"Nominated"
"longhe01",11244,46044,8730,12762,2052,582,546,3204,0,3672,1566,0,342,900,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Nominated"
"friscfr01",48531,191352,32172,60480,9786,2898,2205,8799,1554,15288,5712,0,651,4809,0,1155,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,"Nominated"
"grovele01",378828,837828,72828,123624,16524,3060,9180,612,612,64260,362916,0,1224,63036,0,612,183600,86292,21420,33660,819468,726444,1386792,0.2535294117647048,3.264117619570564,25704,10179396,75276,0,0,0,0,"Nominated"
"jennihu01",8995,34328,6958,10689,1624,616,126,2513,0,2429,819,0,2009,707,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Nominated"
